2020-08-14 0900 1200 黃德成老師 meeting(暑假) 1007
2020-08-21 0900 1200 黃德成老師 meeting(暑假) 1007
2020-08-28 0900 1200 黃德成老師 meeting(暑假) 1007

2020-08-10 1300 1700 吳俊霖老師(SIPLab) 視訊會議 338
2020-08-26 0800 1200 教師新聘案面談 系辦 803
2020-08-26 0800 1200 林偉老師借用 系辦 1007
2020-08-26 0800 1200 林偉老師借用 系辦 1019

2020-09-02 0800 1700 教師新聘案面談 系辦 821
2020-09-04 1100 1400 開會 資通安全中心 338

2020-09-03 1800 2100 採排 系學會 335 
2020-09-03 1800 2100 採排 系學會 336
2020-09-03 1800 2100 採排 系學會 337
2020-09-03 1800 2100 採排 系學會 338
2020-09-11 1800 2100 採排 系學會 242
2020-09-11 1800 2100 採排 系學會 241

2020-09-11 1400 1700 吳俊霖老師 meeting 337
2020-09-07 1400 1700 陳煥老師 meeting 1019
2020-09-29 1800 2200 資訊社 迎新 336
2020-09-11 1400 1700 范耀中老師 新創微學程說明會 1002

2020-09-17 1830 2100 宿營籌辦 系學會 241
2020-09-17 1830 2100 宿營籌辦 系學會 242
2020-09-18 1830 2100 宿營籌辦 系學會 241
2020-09-18 1830 2100 宿營籌辦 系學會 242
2020-09-19 0800 1700 宿營籌辦 系學會 241
2020-09-19 0800 1700 宿營籌辦 系學會 242
2020-09-20 0800 1700 宿營籌辦 系學會 241
2020-09-20 0800 1700 宿營籌辦 系學會 242
2020-09-14 1830 2100 宿營籌辦 系學會 241
